symbol,preselection_score,passed_filters,core_coverage,quality_score,valuation_score,revenue_cagr_3y,fcf_cagr_3y,roic,fcf_margin,debt_to_ebitda,asset_turnover,sector,industry,valuation_method,valuation_context,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_sales,enterprise_to_ebitda,enterprise_to_revenue,fcf_yield,missing_flags
UHS,56.783853,false,5,25.907628,0.906352,0.090257,0.465412,0.124135,0.047484,1.977414,1.118321,HEALTHCARE,"MEDICAL CARE FACILITIES",enterprise_multiples,"sector:HEALTHCARE",10869756928,16032078848,7.703030,6.957067,0.625964,6.136000,0.923000,0.075857,""
MNST,56.328184,false,5,35.528184,0.066667,0.095368,0.421556,0.301159,0.233972,0.000000,0.830352,CONSUMER DEFENSIVE,"BEVERAGES - NON-ALCOHOLIC",enterprise_multiples,"industry:BEVERAGES - NON-ALCOHOLIC",71188758528,68489568256,37.510307,28.534456,8.582809,25.762000,8.257000,0.027261,""
AOS,56.273779,false,5,26.232996,0.836732,0.006730,0.193578,0.296541,0.142551,0.236256,1.218700,INDUSTRIALS,"BUILDING",enterprise_multiples,"sector:INDUSTRIALS",7316749160,9010608128,13.513100,13.513100,1.927000,11.082000,2.353000,0.060667,""
JBHT,55.830068,false,5,32.430068,0.283333,-0.067837,0.589215,0.129969,0.078971,0.928438,1.513670,INDUSTRIALS,"INTEGRATED FREIGHT & LOGISTICS",enterprise_multiples,"industry:INTEGRATED FREIGHT & LOGISTICS",20323403776,21895507968,34.818924,24.296787,1.693745,13.859000,1.825000,0.046625,""
PHM,55.797567,false,5,28.597567,0.600000,0.026554,0.465268,0.170637,0.101001,0.743000,0.959195,CONSUMER CYCLICAL,"RESIDENTIAL CONSTRUCTION",enterprise_multiples,"industry:RESIDENTIAL CONSTRUCTION",22509385728,22946547712,10.535072,10.372562,1.300222,7.194000,1.325000,0.077680,""
QCOM,55.580629,false,5,25.180629,0.866667,0.000633,0.233306,0.321056,0.289495,1.058231,0.883154,TECHNOLOGY,"SEMICONDUCTORS",enterprise_multiples,"industry:SEMICONDUCTORS",135940784128,138802757632,25.661290,11.477669,3.029861,10.084000,3.094000,0.094306,""
AVGO,55.576860,true,5,22.976860,0.550000,0.243784,0.181654,0.158152,0.421275,1.869039,0.373407,TECHNOLOGY,"SEMICONDUCTORS",enterprise_multiples,"industry:SEMICONDUCTORS",1486341799936,158223384576,60.990273,17.572733,21.767696,4.251000,2.317000,0.018108,""
FFIV,54.543020,false,5,27.749081,0.566162,0.046319,0.303759,0.270274,0.293518,0.296200,0.488658,TECHNOLOGY,"SOFTWARE - INFRASTRUCTURE",enterprise_multiples,"industry:SOFTWARE - INFRASTRUCTURE",16796198912,15777906688,24.454094,17.606146,5.342221,17.858000,5.018000,0.053965,""
TKO,54.056630,false,5,34.814392,0.276190,0.607401,0.332914,0.105196,0.244717,3.018012,0.305576,COMMUNICATION SERVICES,"ENTERTAINMENT",enterprise_multiples,"industry:ENTERTAINMENT",15868919808,24421324800,89.364450,53.764477,3.351302,17.750000,5.157000,0.073021,""
META,54.013769,false,5,30.171872,0.320158,0.198938,0.337084,0.220869,0.229437,0.823391,0.549056,COMMUNICATION SERVICES,"INTERNET CONTENT & INFORMATION",enterprise_multiples,"sector:COMMUNICATION SERVICES",1465194381312,1468683386880,24.627125,16.143534,7.290758,14.414000,7.308000,0.031470,""
