ticker,report_date,revenue_surprise_pct,post_earnings_return_5d
SCHW,2025-11-04,0.029955,0.024297
SCHW,2026-02-04,-0.022504,-0.081151
SEELQ,2023-05-05,-0.059135,0.011905
SEELQ,2023-08-04,-1.28857,-0.082803
SEELQ,2023-11-04,-0.941748,-0.306742
SEELQ,2024-02-04,0.041262,-0.037112
TKO,2025-05-05,-0.072207,-0.037343
TKO,2025-08-04,0.104503,0.085907
TKO,2025-11-04,-0.359847,-0.04094
TKO,2026-02-04,-1.262553,0.018641
TSM,2025-05-05,0.006055,0.059977
TSM,2025-08-04,0.036591,0.012929
TSM,2025-11-04,0.079642,-0.009794
TSM,2026-02-04,0.052109,0.148431
TTD,2023-02-15,0.02,0.03
TTD,2023-05-10,0.01,0.01
TTD,2023-08-09,0.00,-0.01
TTD,2023-11-09,0.02,0.04
TTD,2024-02-15,0.02,0.03
TTD,2024-05-09,0.01,0.02
TTD,2024-08-08,0.00,0.00
TTD,2024-11-07,0.01,0.02
TTD,2025-02-13,0.01,0.01
TTD,2025-05-08,0.00,-0.01
TTD,2025-08-07,0.00,0.00
TTD,2025-11-06,0.01,0.01
TTWO,2025-05-05,-0.026525,0.004127
TTWO,2025-08-04,1.176202,-0.014691
TTWO,2025-11-04,0.55424,-0.046468
TTWO,2026-02-04,0.458309,0.015591
UBER,2025-05-05,0.61353,0.031254
UBER,2025-08-04,-0.014855,0.024313
UBER,2025-11-04,3.451761,-0.011302
UBER,2026-02-04,-0.828137,-0.039367
UHS,2025-05-05,0.101502,0.074976
UHS,2025-08-04,0.076199,0.042385
UHS,2025-11-04,0.165172,0.000981
UHS,2026-02-04,-0.01334,0.120411
WOR,2025-08-04,0.243548,0.000159
WOR,2025-11-04,0.043724,0.001093
WOR,2026-02-04,-0.085795,0.016493
WS,2025-08-04,0.235585,0.006071
WS,2025-11-04,-0.016352,0.017504
WS,2026-02-04,-0.05402,0.042617
WSM,2025-08-04,0.041784,-0.002593
WSM,2025-11-04,0.097093,-0.012887
WSM,2026-02-04,0.039347,-0.012371
XOM,2025-05-05,0.008423,0.057035
XOM,2025-08-04,0.051349,-0.014343
XOM,2025-11-04,0.024412,0.049413
XOM,2026-02-04,0.004937,0.054001
XYL,2025-05-05,0.069796,0.040219
XYL,2025-08-04,0.079229,-0.00764
XYL,2025-11-04,0.100225,0.000601
XYL,2026-02-04,-0.003159,-0.092815
XYZ,2025-05-05,-0.362477,0.179674
XYZ,2025-08-04,-0.109579,-0.040594
XYZ,2025-11-04,-0.198575,-0.091899
XYZ,2026-02-04,-0.012008,-0.063033
